student_code,email,full_name
SV001,sv001@hcmus.edu.vn,Nguyễn Văn A
SV002,sv002@hcmus.edu.vn,Trần Thị B
SV003,sv003@hcmus.edu.vn,Lê Minh C
SV004,sv004@hcmus.edu.vn,Phạm Hồng D
SV005,sv005@hcmus.edu.vn,Vũ Quốc E
SV006,sv006@hcmus.edu.vn,Đặng Thái F
SV007,sv007@hcmus.edu.vn,Hoàng Anh G
SV008,sv008@hcmus.edu.vn,Bùi Nhật H
SV009,sv009@hcmus.edu.vn,Cao Mỹ I
SV010,sv010@hcmus.edu.vn,Đinh Hải J
SV011,sv011@hcmus.edu.vn,Lê Thanh K
SV012,sv012@hcmus.edu.vn,Ngô Bảo L
SV013,sv013@hcmus.edu.vn,Đỗ Gia M
SV014,sv014@hcmus.edu.vn,Phan Thục N
SV015,sv015@hcmus.edu.vn,Tạ Minh O
SV016,sv016@hcmus.edu.vn,Trương Quốc P
SV017,sv017@hcmus.edu.vn,Nguyễn Mai Q
SV018,sv018@hcmus.edu.vn,Phạm Khánh R
SV019,sv019@hcmus.edu.vn,Võ Tuấn S
SV020,sv020@hcmus.edu.vn,Lưu Bảo T
